name,rating,courses,fees_range,package,city
IIT Bombay - Indian Institute of Technology,4.6,104,213000 - 1000000,8.4 - 55.37 LPA,Mumbai
IIT Delhi - Indian Institute of Technology,4.5,117,30000 - 8700000,12.5 - 22 LPA,Delhi
DTU - Delhi Technological University,4.3,78,36000 - 6400000,9 - 13 LPA,Delhi
Jadavpur University,4.4,159,12000 - 2200000,3.59 - 10 LPA,Kolkata
Manipal Institute of Technology,4.3,77,2200000 - 13500000,6.2 - 8.88 LPA,Manipal
"Amrita School of Engineering, Amrita Vishwa Vidyapeetham, Coimbatore",4.1,32,1800000 - 1800000,4.5 - 6.41 LPA,Coimbatore
Chandigarh University (CU),4.3,262,494000 - 14600000,2.5 - 7.63 LPA,Chandigarh
Anna University,4.3,33,– / –,2.16 - 6.3 LPA,Chennai
Thapar University,4,53,1300000 - 14600000,7 - 14.51 LPA,Patiala
KIIT School of Engineering,4.3,52,3800000 - 14800000,4.5 - 8 LPA,Bhubaneswar
Jamia Millia Islamia,4.3,207,57000 - 3900000,4.8 - 13 LPA,Delhi
SASTRA (Deemed to be University),4.2,95,18000 - 7700000,3.3 - 7.5 LPA,Thanjavur
VIT Vellore,4.2,85,100000 - 15500000,3 - 8.1 LPA,Vellore
MNNIT Allahabad - Motilal Nehru National Institute of Technology,4.1,53,48000 - 6900000,11 - 12 LPA,Allahabad
Aligarh Muslim University,4.3,316,800 - 5900000,4.75 - 17 LPA,Aligarh
"Koneru Lakshmaiah Education Foundation, Hyderabad",4.4,18,600000 - 2000000,4.75 - 6.6 LPA,Hyderabad
"Birla Institute of Technology, Mesra",3.9,62,2500000 - 17300000,3.18 - 9.9 LPA,Ranchi
KIIT - Kalinga Institute of Industrial Technology,4.1,28,2000 - 15900000,6 - 10.2 LPA,Bhubaneswar
IIIT Delhi - Indraprastha Institute of Information Technology,4.5,26,200000 - 1800000,15.41 - 17 LPA,Delhi
"International Institute of Information Technology, Hyderabad",4.3,32,1200000 - 1800000,21.95 - 30.36 LPA,Hyderabad
IIT Madras - Indian Institute of Technology,4.6,95,10000 - 1000000,1.5 - 18.96 LPA,Chennai
"Amrita School of Engineering, Amrita Vishwa Vidyapeetham - Amritapuri Campus",4,20,1500000 - 1700000,4.5 - 6.41 LPA,Amritapuri
"SoT, Pandit Deendayal Energy University (PDEU)",4.2,27,2700000 - 9600000,4.2 - 7.87 LPA,Gandhinagar
Manipal Academy of Higher Education,4.1,76,10000 - 1800000,3.5 - 11.68 LPA,Manipal
"JNTUH College of Engineering Hyderabad, Jawaharlal Nehru Technological University, Hyderabad",4,65,54000 - 500000,5.5 LPA,Hyderabad
"Manipal University, Jaipur",4.1,101,68000 - 15200000,2.64 - 7 LPA,Jaipur
IIT Kharagpur - Indian Institute of Technology,4.5,177,20000 - 1000000,1.5 - 18.75 LPA,Kharagpur
NIT Trichy - National Institute of Technology,4.4,52,30000 - 6300000,5.5 - 12.37 LPA,Tiruchirappalli
BITS Pilani - Birla Institute of Technology and Science,4.4,38,786000 - 19900000,6.05 - 18.2 LPA,Pilani
IIT Kanpur - Indian Institute of Technology,4.7,102,12000 - 800000,15 - 22.07 LPA,Kanpur
NIT Surathkal - National Institute of Technology,4.3,85,845000 - 500000,9 - 12.84 LPA,Mangalore
"SRM Institute of Science and Technology, Chennai - Ramapuram Campus",3.9,74,60000 - 3600000,2.75 - 12.75 LPA,Chennai
Guru Gobind Singh Indraprastha University,3.9,146,70000 - 7300000,4.95 - 10 LPA,Delhi
IIT Roorkee - Indian Institute of Technology,4.5,106,12000 - 10700000,5.15 - 22.54 LPA,Roorkee
"SRM Institute of Science and Technology, Chennai",4,146,75000 - 30100000,2.75 - 12 LPA,Chennai
IIT Hyderabad - Indian Institute of Technology,4.5,101,24000 - 800000,16.5 - 21 LPA,Hyderabad
NIT Rourkela - National Institute of Technology,4.3,98,30000 - 6300000,5 - 10 LPA,Rourkela
NIT Warangal - National Institute of Technology,4.3,53,30000 - 500000,6.75 - 15.92 LPA,Warangal
"Punjab Engineering College, Chandigarh",3.9,39,73000 - 700000,9 - 10.7 LPA,Chandigarh
Atal Bihari Vajpayee Indian Institute of Information Technology and Management,3.9,14,1500000 - 7200000,12 - 20 LPA,Gwalior
IIT Guwahati - Indian Institute of Technology,4.5,68,12000 - 2000000,12.5 - 22.5 LPA,Guwahati
Banaras Hindu University,4.2,352,600 - 1300000,0.54 - 10 LPA,Varanasi
"Andhra University, Visakhapatnam",4,166,4000 - 300000,3 - 6.6 LPA,Visakhapatnam
LPU - Lovely Professional University,4.3,460,155000 - 31600000,4 - 8.2 LPA,Jalandhar
"International Institute of Information Technology, Bangalore",4.6,21,99000 - 22400000,23 - 24.94 LPA,Bangalore
Indian Institute of Food Processing Technology,4.1,3,200000 - 2800000,3.3 - 4.2 LPA,Thanjavur
"Indian Institute of Technology, BHU, Varanasi",4.3,71,40000 - 8500000,8 - 18.96 LPA,Varanasi
IIT Dhanbad (ISM) - Indian Institute of Technology (ISM),4.2,98,32000 - 8300000,9 - 23.55 LPA,Dhanbad
Panjab University,3.8,221,480 - 6200000,2.4 - 8.5 LPA,Chandigarh
Delhi University (DU),4.2,192,432 - 1500000,5 - 15.5 LPA,Delhi
"College of Engineering, Pune",4.3,49,74000 - 3500000,6.96 - 9.7 LPA,Pune
Jawaharlal Nehru University,4.3,89,120 - 1200000,6 - 7.95 LPA,Delhi
NIT Calicut - National Institute of Technology,4.1,45,1400000 - 6300000,4.5 - 10.8 LPA,Calicut
IIT Indore - Indian Institute of Technology,4.2,48,20000 - 800000,10 - 18.5 LPA,Indore
Indian Institute of Science,4.7,45,18000 - 8800000,22.5 - 27.5 LPA,Bangalore
Calcutta University,4.2,168,15000 - 1400000,5.3 - 9.8 LPA,Kolkata
"Institute of Chemical Technology, Mumbai",4.5,37,30000 - 3500000,4 - 8 LPA,Mumbai
"GITAM (Deemed to be University), Visakhapatnam",4.3,11,2300000 - 9400000,3 - 4.4 LPA,Visakhapatnam
SOA University - Siksha 'O' Anusandhan,4.2,58,1300000 - 10200000,3.25 - 9.6 LPA,Bhubaneswar
VNIT Nagpur - Visvesvaraya National Institute of Technology,4.1,35,30000 - 6300000,5.2 - 11 LPA,Nagpur
UoH - University of Hyderabad,4.4,93,68000 - 2200000,5.25 - 7.3 LPA,Hyderabad
Netaji Subhas University of Technology,4.1,48,64000 - 4500000,6.2 - 16 LPA,Delhi
"Amrita Vishwa Vidyapeetham, Coimbatore",NULL,3,50000 - 2400000,4.5 - 4.7 LPA,Coimbatore
UNIPUNE - Savitribai Phule Pune University (SPPU),3.9,406,21000 - 4100000,2.5 - 5.3 LPA,Pune
"University College of Engineering, Osmania University",4.2,45,54000 - 4800000,6 - 7.1 LPA,Hyderabad
"College of Engineering, Bharati Vidyapeeth",3.8,37,100000 - 700000,4.1 - 6.45 LPA,Pune
IIT Gandhinagar - Indian Institute of Technology,4.4,33,40000 - 800000,8 - 14.17 LPA,Gandhinagar
IIEST Shibpur - Indian Institute of Engineering Science and Technology,4.1,74,90000 - 6300000,3.8 - 7.5 LPA,Howrah
MNIT Jaipur - Malaviya National Institute of Technology,4.2,57,30000 - 6300000,3.6 - 12 LPA,Jaipur
NIT Durgapur - National Institute of Technology,4,43,30000 - 6300000,6.9 - 9 LPA,Durgapur
"Amity University, Gurugram",4.3,193,78000 - 16200000,2.8 - 5.5 LPA,Gurgaon
"Saveetha Institute of Medical and Technical Sciences, Poonamallee",3.7,163,6000 - 12 Cr,3.59 - 12 LPA,Chennai
"Faculty of Engineering and Technology, Manav Rachna International Institute of Research and Studies",3.8,54,495000 - 1100000,2.76 - 4.25 LPA,Faridabad
"Bharathiar University, Coimbatore",4,110,52000 - 75000,2.8 - 6.6 LPA,Coimbatore
IIT Ropar - Indian Institute of Technology,4.4,34,271000 - 800000,10 - 37.25 LPA,Ropar
SSN College of Engineering,4.5,20,35000 - 200000,4.6 - 7.6 LPA,Chennai
NIT Jalandhar - Dr. B. R. Ambedkar National Institute of Technology,3.9,50,1200000 - 500000,6.5 - 8.91 LPA,Jalandhar
Tezpur University,4.1,75,219000 - 2200000,3.6 - 4.25 LPA,Tezpur
NIT Hamirpur - National Institute of Technology,4.1,37,1400000 - 6500000,3.75 - 7.54 LPA,Hamirpur
Vellore Institute of Technology - Chennai Campus,4.2,40,100000 - 1100000,3.83 - 8.1 LPA,Chennai
"Amity University, Noida",4,497,30000 - 18900000,2.4 - 8.65 LPA,Noida
NIT Silchar - National Institute of Technology,4.2,37,32000 - 500000,5.25 - 11 LPA,Silchar
Osmania University,4.3,60,36000 - 716000,4 - 6 LPA,Hyderabad
I.K Gujral Punjab Technical University (PTU),4.2,40,44000 - 3500000,3 - 4.5 LPA,Punjab - Other
IIT Jodhpur - Indian Institute of Technology,4.3,44,26000 - 8300000,11.5 - 15 LPA,Jodhpur
NIT Kurukshetra - National Institute of Technology,4.1,42,45000 - 500000,1.1 - 16.65 LPA,Kurukshetra
Dhirubhai Ambani Institute of Information and Communication Technology,4.4,13,2600000 - 8200000,7 - 20.25 LPA,Gandhinagar
IIT Mandi - Indian Institute of Technology,4.3,60,20000 - 800000,7 - 21 LPA,Mandi
Kerala University,3.8,91,11000 - 60000,2.5 - 3.12 LPA,Thiruvananthapuram
VELS School of Engineering,3.8,20,1500000 - 800000,3.15 - 3.72 LPA,Chennai
